secao;divisao;grupo;classe;subclasse_cod_cnae;desc_cnae;desc_classe
;1;15;1555;155502;Produção de pintos de um dia;Criação de aves
;1;15;1555;155503;Criação de outros galináceos, exceto para corte;Criação de aves
;1;15;1555;155504;Criação de aves, exceto galináceos;Criação de aves
;1;15;1555;155505;Produção de ovos;Criação de aves
;1;15;1598;159801;Apicultura;Criação de animais não especificados anteriormente
;1;15;1598;159802;Criação de animais de estimação;Criação de animais não especificados anteriormente
;1;15;1598;159803;Criação de escargô;Criação de animais não especificados anteriormente
;1;15;1598;159804;Criação de bicho-da-seda;Criação de animais não especificados anteriormente
;1;15;1598;159899;Criação de outros animais não especificados anteriormente;Criação de animais não especificados anteriormente
;1;16;1610;161001;Serviço de pulverização e controle de pragas agrícolas;Atividades de apoio à agricultura
;1;16;1610;161002;Serviço de poda de árvores para lavouras;Atividades de apoio à agricultura
;1;16;1610;161003;Serviço de preparação de terreno, cultivo e colheita;Atividades de apoio à agricultura
;1;16;1610;161099;Atividades de apoio à agricultura não especificadas anteriormente;Atividades de apoio à agricultura
;1;16;1628;162801;Serviço de inseminação artificial em animais;Atividades de apoio à pecuária
;1;16;1628;162802;Serviço de tosquiamento de ovinos;Atividades de apoio à pecuária
;1;16;1628;162803;Serviço de manejo de animais;Atividades de apoio à pecuária
;1;16;1628;162899;Atividades de apoio à pecuária não especificadas anteriormente;Atividades de apoio à pecuária
;1;16;1636;163600;Atividades de pós-colheita;Atividades de pós-colheita
;1;17;1709;170900;Caça e serviços relacionados;Caça e serviços relacionados
;2;21;2101;210101;Cultivo de eucalipto;Produção florestal - florestas plantadas
;2;21;2101;210102;Cultivo de acácia-negra;Produção florestal - florestas plantadas
;2;21;2101;210103;Cultivo de pinus;Produção florestal - florestas plantadas
;2;21;2101;210104;Cultivo de teca;Produção florestal - florestas plantadas
;2;21;2101;210105;Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca;Produção florestal - florestas plantadas
;2;21;2101;210106;Cultivo de mudas em viveiros florestais;Produção florestal - florestas plantadas
;2;21;2101;210107;Extração de madeira em florestas plantadas;Produção florestal - florestas plantadas
;2;21;2101;210108;Produção de carvão vegetal - florestas plantadas;Produção florestal - florestas plantadas
;2;21;2101;210109;Produção de casca de acácia-negra - florestas plantadas;Produção florestal - florestas plantadas
;2;21;2101;210199;Produção de produtos não-madeireiros não especificados anteriormente em florestas plantadas;Produção florestal - florestas plantadas
;2;22;2209;220901;Extração de madeira em florestas nativas;Produção florestal - florestas nativas
;2;22;2209;220902;Produção de carvão vegetal - florestas nativas;Produção florestal - florestas nativas
;2;22;2209;220903;Coleta de castanha-do-pará em florestas nativas;Produção florestal - florestas nativas
;2;22;2209;220904;Coleta de látex em florestas nativas;Produção florestal - florestas nativas
;2;22;2209;220905;Coleta de palmito em florestas nativas;Produção florestal - florestas nativas
;2;22;2209;220906;Conservação de florestas nativas;Produção florestal - florestas nativas
;2;22;2209;220999;Coleta de produtos não-madeireiros não especificados anteriormente em florestas nativas;Produção florestal - florestas nativas
;2;23;2306;230600;Atividades de apoio à produção florestal;Atividades de apoio à produção florestal
;3;31;3116;311601;Pesca de peixes em água salgada;Pesca em água salgada
;3;31;3116;311602;Pesca de crustáceos e moluscos em água salgada;Pesca em água salgada
;3;31;3116;311603;Coleta de outros produtos marinhos;Pesca em água salgada
;3;31;3116;311604;Atividades de apoio à pesca em água salgada;Pesca em água salgada
;3;31;3124;312401;Pesca de peixes em água doce;Pesca em água doce
;3;31;3124;312402;Pesca de crustáceos e moluscos em água doce;Pesca em água doce
;3;31;3124;312403;Coleta de outros produtos aquáticos de água doce;Pesca em água doce
;3;31;3124;312404;Atividades de apoio à pesca em água doce;Pesca em água doce
;3;32;3213;321301;Criação de peixes em água salgada e salobra;Aqüicultura em água salgada e salobra
;3;32;3213;321302;Criação de camarões em água salgada e salobra;Aqüicultura em água salgada e salobra
;3;32;3213;321303;Criação de ostras e mexilhões em água salgada e salobra;Aqüicultura em água salgada e salobra
;3;32;3213;321304;Criação de peixes ornamentais em água salgada e salobra;Aqüicultura em água salgada e salobra
;3;32;3213;321305;Atividades de apoio à aqüicultura em água salgada e salobra;Aqüicultura em água salgada e salobra
;3;32;3213;321399;Cultivos e semicultivos da aqüicultura em água salgada e salobra não especificados anteriormente;Aqüicultura em água salgada e salobra
;3;32;3221;322101;Criação de peixes em água doce;Aqüicultura em água doce
;3;32;3221;322102;Criação de camarões em água doce;Aqüicultura em água doce
;3;32;3221;322103;Criação de ostras e mexilhões em água doce;Aqüicultura em água doce
;3;32;3221;322104;Criação de peixes ornamentais em água doce;Aqüicultura em água doce
;3;32;3221;322105;Ranicultura;Aqüicultura em água doce
;3;32;3221;322106;Criação de jacaré;Aqüicultura em água doce
;3;32;3221;322107;Atividades de apoio à aqüicultura em água doce;Aqüicultura em água doce
;3;32;3221;322199;Cultivos e semicultivos da aqüicultura em água doce não especificados anteriormente;Aqüicultura em água doce
;5;50;5003;500301;Extração de carvão mineral;Extração de carvão mineral
;5;50;5003;500302;Beneficiamento de carvão mineral;Extração de carvão mineral
;6;60;6000;600001;Extração de petróleo e gás natural;Extração de petróleo e gás natural
;6;60;6000;600002;Extração e beneficiamento de xisto;Extração de petróleo e gás natural
;6;60;6000;600003;Extração e beneficiamento de areias betuminosas;Extração de petróleo e gás natural
;7;71;7103;710301;Extração de minério de ferro;Extração de minério de ferro
;7;71;7103;710302;Pelotização, sinterização e outros beneficiamentos de minério de ferro;Extração de minério de ferro
;7;72;7219;721901;Extração de minério de alumínio;Extração de minério de alumínio
;7;72;7219;721902;Beneficiamento de minério de alumínio;Extração de minério de alumínio
;7;72;7227;722701;Extração de minério de estanho;Extração de minério de estanho
;7;72;7227;722702;Beneficiamento de minério de estanho;Extração de minério de estanho
;7;72;7235;723501;Extração de minério de manganês;Extração de minério de manganês
;7;72;7235;723502;Beneficiamento de minério de manganês;Extração de minério de manganês
;7;72;7243;724301;Extração de minério de metais preciosos;Extração de minério de metais preciosos
;7;72;7243;724302;Beneficiamento de minério de metais preciosos;Extração de minério de metais preciosos
;7;72;7251;725100;Extração de minerais radioativos;Extração de minerais radioativos
;7;72;7294;729401;Extração de minérios de nióbio e titânio;Extração de minerais metálicos não-ferrosos não especificados anteriormente
;7;72;7294;729402;Extração de minério de tungstênio;Extração de minerais metálicos não-ferrosos não especificados anteriormente
;7;72;7294;729403;Extração de minério de níquel;Extração de minerais metálicos não-ferrosos não especificados anteriormente
;7;72;7294;729404;Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente;Extração de minerais metálicos não-ferrosos não especificados anteriormente
;7;72;7294;729405;Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente;Extração de minerais metálicos não-ferrosos não especificados anteriormente
;8;81;8100;810001;Extração de ardósia e beneficiamento associado;Extração de pedra, areia e argila
;8;81;8100;810002;Extração de granito e beneficiamento associado;Extração de pedra, areia e argila
;8;81;8100;810003;Extração de mármore e beneficiamento associado;Extração de pedra, areia e argila
;8;81;8100;810004;Extração de calcário e dolomita e beneficiamento associado;Extração de pedra, areia e argila
;8;81;8100;810005;Extração de gesso e caulim;Extração de pedra, areia e argila
;8;81;8100;810006;Extração de areia, cascalho ou pedregulho e beneficiamento associado;Extração de pedra, areia e argila
;8;81;8100;810007;Extração de argila e beneficiamento associado;Extração de pedra, areia e argila
;8;81;8100;810008;Extração de saibro e beneficiamento associado;Extração de pedra, areia e argila
;8;81;8100;810009;Extração de basalto e beneficiamento associado;Extração de pedra, areia e argila
;8;81;8100;810010;Beneficiamento de gesso e caulim associado à extração;Extração de pedra, areia e argila
;8;81;8100;810099;Extração e britamento de pedras e outros materiais para construção e beneficiamento associado;Extração de pedra, areia e argila
;8;89;8916;891600;Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos;Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos
;8;89;8924;892401;Extração de sal marinho;Extração e refino de sal marinho e sal-gema
;8;89;8924;892402;Extração de sal-gema;Extração e refino de sal marinho e sal-gema
;8;89;8924;892403;Refino e outros tratamentos do sal;Extração e refino de sal marinho e sal-gema
;8;89;8932;893200;Extração de gemas (pedras preciosas e semipreciosas);Extração de gemas (pedras preciosas e semipreciosas)
;8;89;8991;899101;Extração de grafita;Extração de minerais não-metálicos não especificados anteriormente
;8;89;8991;899102;Extração de quartzo;Extração de minerais não-metálicos não especificados anteriormente
;8;89;8991;899103;Extração de amianto;Extração de minerais não-metálicos não especificados anteriormente
;8;89;8991;899199;Extração de outros minerais não-metálicos não especificados anteriormente;Extração de minerais não-metálicos não especificados anteriormente
;9;91;9106;910600;Atividades de apoio à extração de petróleo e gás natural;Atividades de apoio à extração de petróleo e gás natural
;9;99;9904;990401;Atividades de apoio à extração de minério de ferro;Atividades de apoio à extração de minerais, exceto petróleo e gás natural
;9;99;9904;990402;Atividades de apoio à extração de minerais metálicos não-ferrosos;Atividades de apoio à extração de minerais, exceto petróleo e gás natural
;9;99;9904;990403;Atividades de apoio à extração de minerais não-metálicos;Atividades de apoio à extração de minerais, exceto petróleo e gás natural
;1;10;1011;1011201;Frigorífico - abate de bovinos;#N/A
;1;10;1011;1011202;Frigorífico - abate de eqüinos;#N/A
;1;10;1011;1011203;Frigorífico - abate de ovinos e caprinos;#N/A
;1;10;1011;1011204;Frigorífico - abate de bufalinos;#N/A
;1;10;1011;1011205;Matadouro - abate de reses sob contrato - exceto abate de suínos;#N/A
;1;10;1012;1012101;Abate de aves;#N/A
;1;10;1012;1012102;Abate de pequenos animais;#N/A
;1;10;1012;1012103;Frigorífico - abate de suínos;#N/A
;1;10;1012;1012104;Matadouro - abate de suínos sob contrato;#N/A
;1;10;1013;1013901;Fabricação de produtos de carne;#N/A
;1;10;1013;1013902;Preparação de subprodutos do abate;#N/A
;1;10;1020;1020101;Preservação de peixes, crustáceos e moluscos;#N/A
;1;10;1020;1020102;Fabricação de conservas de peixes, crustáceos e moluscos;#N/A
;1;10;1031;1031700;Fabricação de conservas de frutas;#N/A
;1;10;1032;1032501;Fabricação de conservas de palmito;#N/A
;1;10;1032;1032599;Fabricação de conservas de legumes e outros vegetais, exceto palmito;#N/A
;1;10;1033;1033301;Fabricação de sucos concentrados de frutas, hortaliças e legumes;#N/A
;1;10;1033;1033302;Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados;#N/A
;1;10;1041;1041400;Fabricação de óleos vegetais em bruto, exceto óleo de milho;#N/A
;1;10;1042;1042200;Fabricação de óleos vegetais refinados, exceto óleo de milho;#N/A
;1;10;1043;1043100;Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais;#N/A
;1;10;1051;1051100;Preparação do leite;#N/A
;1;10;1052;1052000;Fabricação de laticínios;#N/A
;1;10;1053;1053800;Fabricação de sorvetes e outros gelados comestíveis;#N/A
;1;10;1061;1061901;Beneficiamento de arroz;#N/A
;1;10;1061;1061902;Fabricação de produtos do arroz;#N/A
;1;10;1062;1062700;Moagem de trigo e fabricação de derivados;#N/A
;1;10;1063;1063500;Fabricação de farinha de mandioca e derivados;#N/A
;1;10;1064;1064300;Fabricação de farinha de milho e derivados, exceto óleos de milho;#N/A
;1;10;1065;1065101;Fabricação de amidos e féculas de vegetais;#N/A
;1;10;1065;1065102;Fabricação de óleo de milho em bruto;#N/A
;1;10;1065;1065103;Fabricação de óleo de milho refinado;#N/A
;1;10;1066;1066000;Fabricação de alimentos para animais;#N/A
;1;10;1069;1069400;Moagem e fabricação de produtos de origem vegetal não especificados anteriormente;#N/A
;1;10;1071;1071600;Fabricação de açúcar em bruto;#N/A
;1;10;1072;1072401;Fabricação de açúcar de cana refinado;#N/A
;1;10;1072;1072402;Fabricação de açúcar de cereais (dextrose) e de beterraba;#N/A
;1;10;1081;1081301;Beneficiamento de café;#N/A
;1;10;1081;1081302;Torrefação e moagem de café;#N/A
;1;10;1082;1082100;Fabricação de produtos à base de café;#N/A
;1;10;1091;1091100;Fabricação de produtos de panificação;#N/A
;1;10;1091;1091101;Fabricação de produtos de panificação industrial;#N/A
;1;10;1091;1091102;Fabricação de produtos de padaria e confeitaria com predominância de produção própria;#N/A
;1;10;1092;1092900;Fabricação de biscoitos e bolachas;#N/A
;1;10;1093;1093701;Fabricação de produtos derivados do cacau e de chocolates;#N/A
;1;10;1093;1093702;Fabricação de frutas cristalizadas, balas e semelhantes;#N/A
;1;10;1094;1094500;Fabricação de massas alimentícias;#N/A
;1;10;1095;1095300;Fabricação de especiarias, molhos, temperos e condimentos;#N/A
;1;10;1096;1096100;Fabricação de alimentos e pratos prontos;#N/A
;1;10;1099;1099601;Fabricação de vinagres;#N/A
;1;10;1099;1099602;Fabricação de pós alimentícios;#N/A
;1;10;1099;1099603;Fabricação de fermentos e leveduras;#N/A
;1;10;1099;1099604;Fabricação de gelo comum;#N/A
;1;10;1099;1099605;Fabricação de produtos para infusão (chá, mate, etc.);#N/A
;1;10;1099;1099606;Fabricação de adoçantes naturais e artificiais;#N/A
;1;10;1099;1099607;Fabricação de alimentos dietéticos e complementos alimentares;#N/A
;1;10;1099;1099699;Fabricação de outros produtos alimentícios não especificados anteriormente;#N/A
;1;11;1111;1111901;Fabricação de aguardente de cana-de-açúcar;#N/A
;1;11;1111;1111902;Fabricação de outras aguardentes e bebidas destiladas;#N/A
;1;11;1112;1112700;Fabricação de vinho;#N/A
;1;11;1113;1113501;Fabricação de malte, inclusive malte uísque;Cultivo de cereais
;1;11;1113;1113502;Fabricação de cervejas e chopes;Cultivo de cereais
;1;11;1121;1121600;Fabricação de águas envasadas;Cultivo de algodão herbáceo e de outras fibras de lavoura temporária
;1;11;1122;1122401;Fabricação de refrigerantes;#N/A
;1;11;1122;1122402;Fabricação de chá mate e outros chás prontos para consumo;#N/A
;1;11;1122;1122403;Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas;#N/A
;1;11;1122;1122404;Fabricação de bebidas isotônicas;#N/A
;1;11;1122;1122499;Fabricação de outras bebidas não-alcoólicas não especificadas anteriormente;#N/A
;1;12;1210;1210700;Processamento industrial do fumo;#N/A
;1;12;1220;1220401;Fabricação de cigarros;#N/A
;1;12;1220;1220402;Fabricação de cigarrilhas e charutos;#N/A
;1;12;1220;1220403;Fabricação de filtros para cigarros;#N/A
;1;12;1220;1220499;Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos;#N/A
;1;13;1311;1311100;Preparação e fiação de fibras de algodão;#N/A
;1;13;1312;1312000;Preparação e fiação de fibras têxteis naturais, exceto algodão;#N/A
;1;13;1313;1313800;Fiação de fibras artificiais e sintéticas;#N/A
;1;13;1314;1314600;Fabricação de linhas para costurar e bordar;#N/A
;1;13;1321;1321900;Tecelagem de fios de algodão;#N/A
;1;13;1322;1322700;Tecelagem de fios de fibras têxteis naturais, exceto algodão;#N/A
;1;13;1323;1323500;Tecelagem de fios de fibras artificiais e sintéticas;#N/A
;1;13;1330;1330800;Fabricação de tecidos de malha;#N/A
;1;13;1340;1340501;Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário;#N/A
;1;13;1340;1340502;Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário;#N/A
;1;13;1340;1340599;Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário;#N/A
;1;13;1351;1351100;Fabricação de artefatos têxteis para uso doméstico;Cultivo de cacau
;1;13;1352;1352900;Fabricação de artefatos de tapeçaria;#N/A
;1;13;1353;1353700;Fabricação de artefatos de cordoaria;#N/A
;1;13;1354;1354500;Fabricação de tecidos especiais, inclusive artefatos;#N/A
;1;13;1359;1359600;Fabricação de outros produtos têxteis não especificados anteriormente;#N/A
;1;14;1411;1411801;Confecção de roupas íntimas;#N/A
;1;14;1411;1411802;Facção de roupas íntimas;#N/A
;1;14;1412;1412601;Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida;#N/A
;1;14;1412;1412602;Confecção, sob medida, de peças do vestuário, exceto roupas íntimas;#N/A
;1;14;1412;1412603;Facção de peças do vestuário, exceto roupas íntimas;#N/A
;1;14;1413;1413401;Confecção de roupas profissionais, exceto sob medida;#N/A
;1;14;1413;1413402;Confecção, sob medida, de roupas profissionais;#N/A
;1;14;1413;1413403;Facção de roupas profissionais;#N/A
;1;14;1414;1414200;Fabricação de acessórios do vestuário, exceto para segurança e proteção;#N/A
;1;14;1421;1421500;Fabricação de meias;#N/A
;1;14;1422;1422300;Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias;#N/A
;1;15;1510;1510600;Curtimento e outras preparações de couro;#N/A
;1;15;1521;1521100;Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material;Criação de outros animais de grande porte
;1;15;1529;1529700;Fabricação de artefatos de couro não especificados anteriormente;#N/A
;1;15;1531;1531901;Fabricação de calçados de couro;#N/A
;1;15;1531;1531902;Acabamento de calçados de couro sob contrato;#N/A
;1;15;1532;1532700;Fabricação de tênis de qualquer material;#N/A
;1;15;1533;1533500;Fabricação de calçados de material sintético;#N/A
;1;15;1539;1539400;Fabricação de calçados de materiais não especificados anteriormente;Criação de caprinos e ovinos
;1;15;1540;1540800;Fabricação de partes para calçados, de qualquer material;#N/A
;1;16;1610;1610201;Serrarias com desdobramento de madeira;Atividades de apoio à agricultura
;1;16;1610;1610202;Serrarias sem desdobramento de madeira;Atividades de apoio à agricultura
;1;16;1610;1610203;Serrarias com desdobramento de madeira em bruto;Atividades de apoio à agricultura
;1;16;1610;1610204;Serrarias sem desdobramento de madeira em bruto  -Resserragem;Atividades de apoio à agricultura
;1;16;1610;1610205;Serviço de tratamento de madeira realizado sob contrato;Atividades de apoio à agricultura
;1;16;1621;1621800;Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada;#N/A
;1;16;1622;1622601;Fabricação de casas de madeira pré-fabricadas;#N/A
;1;16;1622;1622602;Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais;#N/A
;1;16;1622;1622699;Fabricação de outros artigos de carpintaria para construção;#N/A
;1;16;1623;1623400;Fabricação de artefatos de tanoaria e de embalagens de madeira;#N/A
;1;16;1629;1629301;Fabricação de artefatos diversos de madeira, exceto móveis;#N/A
;1;16;1629;1629302;Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis;#N/A
;1;17;1710;1710900;Fabricação de celulose e outras pastas para a fabricação de papel;#N/A
;1;17;1721;1721400;Fabricação de papel;#N/A
;1;17;1722;1722200;Fabricação de cartolina e papel-cartão;#N/A
;1;17;1731;1731100;Fabricação de embalagens de papel;#N/A
;1;17;1732;1732000;Fabricação de embalagens de cartolina e papel-cartão;#N/A
;1;17;1733;1733800;Fabricação de chapas e de embalagens de papelão ondulado;#N/A
;1;17;1741;1741901;Fabricação de formulários contínuos;#N/A
;1;17;1741;1741902;Fabricação de produtos de papel, cartolina, papel cartão e papelão ondulado para uso comercial e de escritório, exceto formulário contínuo;#N/A
;1;17;1742;1742701;Fabricação de fraldas descartáveis;#N/A
;1;17;1742;1742702;Fabricação de absorventes higiênicos;#N/A
;1;17;1742;1742799;Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente;#N/A
;1;17;1749;1749400;Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente;#N/A
;1;18;1811;1811301;Impressão de jornais;#N/A
;1;18;1811;1811302;Impressão de livros, revistas e outras publicações periódicas;#N/A
;1;18;1812;1812100;Impressão de material de segurança;#N/A
;1;18;1813;1813001;Impressão de material para uso publicitário;#N/A
;1;18;1813;1813099;Impressão de material para outros usos;#N/A
;1;18;1821;1821100;Serviços de pré-impressão;#N/A
;1;18;1822;1822900;Serviços de acabamentos gráficos;#N/A
;1;18;1822;1822901;Serviços de encadernação e plastificação;#N/A
;1;18;1822;1822999;Serviços de acabamentos gráficos, exceto encadernação e plastificação;#N/A
;1;18;1830;1830001;Reprodução de som em qualquer suporte;#N/A
;1;18;1830;1830002;Reprodução de vídeo em qualquer suporte;#N/A
;1;18;1830;1830003;Reprodução de software em qualquer suporte;#N/A
;1;19;1910;1910100;Coquerias;#N/A
;1;19;1921;1921700;Fabricação de produtos do refino de petróleo;#N/A
;1;19;1922;1922501;Formulação de combustíveis;#N/A
;1;19;1922;1922502;Rerrefino de óleos lubrificantes;#N/A
;1;19;1922;1922599;Fabricação de outros produtos derivados do petróleo, exceto produtos do refino;#N/A
;1;19;1931;1931400;Fabricação de álcool;#N/A
;1;19;1932;1932200;Fabricação de biocombustíveis, exceto álcool;#N/A
;2;20;2011;2011800;Fabricação de cloro e álcalis;#N/A
;2;20;2012;2012600;Fabricação de intermediários para fertilizantes;#N/A
;2;20;2013;2013400;Fabricação de adubos e fertilizantes;#N/A
;2;20;2013;2013401;Fabricação de adubos e fertilizantes organo-minerais;#N/A
;2;20;2013;2013402;Fabricação de adubos e fertilizantes, exceto organo-minerais;#N/A
;2;20;2014;2014200;Fabricação de gases industriais;#N/A
;2;20;2019;2019301;Elaboração de combustíveis nucleares;#N/A
;2;20;2019;2019399;Fabricação de outros produtos químicos inorgânicos não especificados anteriormente;#N/A
;2;20;2021;2021500;Fabricação de produtos petroquímicos básicos;#N/A
;2;20;2022;2022300;Fabricação de intermediários para plastificantes, resinas e fibras;#N/A
;2;20;2029;2029100;Fabricação de produtos químicos orgânicos não especificados anteriormente;#N/A
;2;20;2031;2031200;Fabricação de resinas termoplásticas;#N/A
;2;20;2032;2032100;Fabricação de resinas termofixas;#N/A
;2;20;2033;2033900;Fabricação de elastômeros;#N/A
;2;20;2040;2040100;Fabricação de fibras artificiais e sintéticas;#N/A
;2;20;2051;2051700;Fabricação de defensivos agrícolas;#N/A
;2;20;2052;2052500;Fabricação de desinfestantes domissanitários;#N/A
;2;20;2061;2061400;Fabricação de sabões e detergentes sintéticos;#N/A
